ticker,asset_class,sector
TTD,Equity,Communication Services
TYL,Equity,Information Technology
TSCO,Equity,Consumer Discretionary
UA,Equity,Consumer Discretionary
UAA,Equity,Consumer Discretionary
UNP,Equity,Industrials
UAL,Equity,Industrials
UPS,Equity,Industrials
URI,Equity,Industrials
UNH,Equity,Health Care
UHS,Equity,Health Care
VLO,Equity,Energy
VTR,Equity,Real Estate
VRSN,Equity,Information Technology
VRSK,Equity,Industrials
VZ,Equity,Communication Services
VRTX,Equity,Health Care
VFC,Equity,Consumer Discretionary
VTRS,Equity,Health Care
VICI,Equity,Real Estate
V,Equity,Information Technology
VMC,Equity,Materials
WAB,Equity,Industrials
WMT,Equity,Consumer Staples
WAT,Equity,Health Care
WEC,Equity,Utilities
WFC,Equity,Financials
WELL,Equity,Real Estate
WST,Equity,Health Care
WDC,Equity,Information Technology
WY,Equity,Real Estate
WHR,Equity,Consumer Discretionary
WMB,Equity,Energy
WYNN,Equity,Consumer Discretionary
XEL,Equity,Utilities
XRX,Equity,Information Technology
XYL,Equity,Industrials
YUM,Equity,Consumer Discretionary
ZBRA,Equity,Information Technology
ZBH,Equity,Health Care
ZION,Equity,Financials
ZTS,Equity,Health Care
UBS,Equity,Financials
RY,Equity,Financials
TD,Equity,Financials
BNS,Equity,Financials
BHP,Equity,Materials
RIO,Equity,Materials
SIEGY,Equity,Industrials
ALIZY,Equity,Financials
SAP,Equity,Information Technology
BNPQY,Equity,Financials
TOT,Equity,Energy
VALE,Equity,Materials
ITUB,Equity,Financials
INFY,Equity,Information Technology
TSM,Equity,Information Technology
HDB,Equity,Financials
BIDU,Equity,Communication Services
MELI,Equity,Consumer Discretionary
NPSNY,Equity,Communication Services
MTN,Equity,Communication Services
